pcontact,I_30,I_50,I_70,S_70,D_70,R_70
0.1,0,1,0,99986,0,11
0.1,0,0,0,99991,0,6
0.1,3,0,0,99987,0,10
0.1,3,4,5,99956,0,25
0.1,2,0,0,99991,0,6
0.1,0,0,0,99990,1,6
0.1,0,3,0,99974,0,23
0.1,6,2,0,99975,0,22
0.1,0,0,0,99991,0,6
0.1,0,1,0,99988,0,9
0.1,1,0,0,99989,0,8
0.1,0,0,0,99991,0,6
0.1,0,1,0,99988,0,9
0.1,0,0,0,99990,0,7
0.1,4,2,9,99946,0,37
0.1,2,0,0,99983,0,14
0.1,2,3,5,99965,0,24
0.1,2,1,3,99963,0,26
0.1,4,3,6,99938,0,44
0.1,1,8,10,99923,1,56
0.1,6,2,0,99955,0,31
0.1,2,0,0,99987,0,10
0.1,3,3,0,99964,0,24
0.1,0,0,0,99991,0,6
0.1,1,1,0,99982,0,15
0.1,2,2,2,99979,1,15
0.1,2,1,1,99978,1,16
0.1,1,0,0,99987,0,10
0.1,2,1,0,99982,0,15
0.1,3,0,1,99980,1,14
0.1,6,1,0,99980,0,17
0.1,0,0,0,99991,0,6
0.1,0,0,0,99991,0,6
0.1,1,8,2,99950,1,37
0.1,0,0,0,99991,0,6
0.1,0,0,1,99981,0,12
0.1,2,6,8,99912,0,63
0.1,4,1,1,99970,0,24
0.1,2,0,0,99986,0,11
0.1,0,0,0,99991,0,6
0.1,2,2,0,99980,0,17
0.1,4,5,3,99960,0,26
0.1,0,0,0,99991,0,6
0.1,2,0,0,99990,0,7
0.1,0,2,3,99976,0,15
0.1,3,12,16,99905,0,65
0.1,5,1,0,99985,0,12
0.1,3,7,1,99967,0,29
0.1,1,0,0,99989,0,8
0.1,0,0,0,99990,1,6
0.1,1,2,0,99987,0,10
0.1,0,0,0,99991,0,6
0.1,0,1,0,99986,0,11
0.1,2,1,0,99981,0,16
0.1,1,0,0,99985,0,12
0.1,2,0,0,99981,0,16
0.1,4,3,3,99971,0,23
0.1,0,0,0,99991,0,6
0.1,0,0,0,99990,1,6
0.1,1,1,0,99985,0,12
0.1,5,5,8,99951,0,31
0.1,1,0,0,99987,0,10
0.1,0,0,0,99991,0,6
0.1,0,0,0,99991,0,6
0.105,4,10,27,99854,2,81
0.105,1,2,0,99986,0,11
0.105,4,8,18,99917,0,53
0.105,2,0,0,99988,0,9
0.105,1,1,0,99987,1,9
0.105,2,11,12,99898,0,65
0.105,1,3,1,99962,1,21
0.105,0,0,0,99991,0,6
0.105,2,0,0,99988,0,9
0.105,3,0,0,99989,0,8
0.105,2,5,8,99945,0,29
0.105,5,8,6,99955,0,31
0.105,1,1,5,99957,0,23
0.105,0,0,0,99991,0,6
0.105,2,8,6,99937,1,43
0.105,0,0,0,99991,0,6
0.105,2,0,0,99984,0,13
0.105,4,4,7,99931,0,38
0.105,3,7,0,99973,0,24
0.105,1,4,4,99952,0,30
0.105,6,0,0,99976,0,21
0.105,0,0,0,99991,0,6
0.105,2,1,0,99988,0,9
0.105,10,16,2,99932,4,58
0.105,0,0,0,99991,0,6
0.105,6,9,12,99908,0,60
0.105,1,0,0,99990,0,7
0.105,1,0,1,99982,0,13
0.105,5,8,3,99935,0,54
0.105,0,0,0,99991,0,6
0.105,3,1,0,99984,0,13
0.105,3,2,4,99966,0,26
0.105,1,1,0,99986,1,10
0.105,2,0,0,99986,0,11
0.105,4,2,1,99967,0,28
0.105,2,2,0,99982,0,15
0.105,0,5,2,99954,0,33
0.105,1,2,0,99983,0,14
0.105,5,7,2,99955,0,39
0.105,0,0,0,99991,0,6
0.105,5,1,1,99972,0,18
0.105,1,7,5,99965,2,22
0.105,6,4,2,99961,0,34
0.105,1,0,0,99991,0,6
0.105,0,0,0,99991,0,6
0.105,3,3,0,99971,0,25
0.105,0,0,0,99991,0,6
0.105,2,1,1,99971,0,23
0.105,8,10,12,99901,0,71
0.105,1,0,0,99991,0,6
0.105,4,8,7,99946,0,43
0.105,1,0,0,99988,0,9
0.105,1,3,3,99973,0,19
0.105,4,1,1,99979,0,17
0.105,1,2,0,99977,0,20
0.105,6,1,0,99979,0,18
0.105,3,2,1,99968,0,25
0.105,1,0,0,99988,0,9
0.105,0,0,0,99991,0,6
0.105,0,0,0,99991,0,6
0.105,1,1,0,99982,0,15
0.105,1,2,0,99977,0,20
0.105,3,0,0,99982,0,15
0.105,3,0,1,99982,0,14
0.11,2,5,6,99946,0,31
0.11,2,6,15,99937,1,35
0.11,0,8,12,99913,1,48
0.11,0,0,0,99991,1,5
0.11,0,0,0,99988,0,9
0.11,0,3,0,99983,0,14
0.11,0,0,0,99989,0,8
0.11,3,2,1,99968,1,27
0.11,6,1,3,99961,0,28
0.11,0,0,0,99991,0,6
0.11,8,13,5,99918,0,70
0.11,2,1,0,99978,0,16
0.11,0,0,0,99990,0,7
0.11,2,9,13,99907,1,52
0.11,3,9,2,99964,1,30
0.11,0,0,0,99986,0,11
0.11,3,9,3,99945,0,36
0.11,10,7,3,99935,0,54
0.11,0,0,0,99991,0,6
0.11,3,2,0,99975,0,21
0.11,7,13,11,99891,0,59
0.11,2,0,0,99987,1,9
0.11,1,4,0,99984,0,13
0.11,9,9,3,99948,0,42
0.11,1,10,12,99889,0,80
0.11,1,1,0,99982,0,15
0.11,0,0,0,99991,0,6
0.11,3,5,12,99916,0,42
0.11,4,0,0,99982,0,15
0.11,0,1,0,99980,0,17
0.11,2,3,5,99940,0,38
0.11,1,4,2,99964,0,27
0.11,1,0,0,99990,0,7
0.11,1,0,0,99991,0,6
0.11,0,0,0,99990,1,6
0.11,4,1,11,99936,0,38
0.11,1,3,2,99984,0,11
0.11,1,1,0,99979,0,17
0.11,2,0,0,99988,0,9
0.11,0,0,0,99989,0,8
0.11,2,4,8,99956,1,27
0.11,4,10,6,99923,0,51
0.11,3,6,11,99924,0,51
0.11,8,2,0,99961,1,26
0.11,1,0,0,99990,0,7
0.11,0,0,0,99991,0,6
0.11,2,2,0,99972,0,18
0.11,6,6,1,99951,0,39
0.11,1,0,0,99987,0,10
0.11,3,1,0,99981,0,16
0.11,5,8,2,99959,0,34
0.11,4,1,7,99961,0,24
0.11,6,8,13,99907,0,59
0.11,0,0,0,99989,0,8
0.11,2,0,0,99985,0,12
0.11,3,1,0,99983,0,14
0.11,0,0,0,99991,0,6
0.11,6,7,5,99950,1,31
0.11,2,0,0,99987,2,8
0.11,0,0,0,99990,0,7
0.11,2,7,2,99971,2,20
0.11,1,0,0,99989,0,8
0.11,0,0,0,99991,0,6
0.11,4,4,3,99965,0,28
0.115,8,5,9,99914,1,54
0.115,2,0,2,99973,0,18
0.115,6,6,4,99954,1,35
0.115,0,0,0,99991,1,5
0.115,7,9,22,99882,0,69
0.115,1,1,1,99982,0,14
0.115,0,4,5,99963,0,29
0.115,3,4,6,99961,0,24
0.115,1,0,0,99989,0,8
0.115,2,8,7,99949,0,33
0.115,5,4,4,99951,0,34
0.115,2,0,0,99979,1,17
0.115,1,0,0,99991,0,6
0.115,4,9,6,99928,0,54
0.115,3,3,3,99957,0,30
0.115,8,2,2,99951,0,33
0.115,7,8,4,99925,1,53
0.115,9,13,28,99800,0,123
0.115,1,0,0,99989,0,8
0.115,4,5,2,99948,0,38
0.115,0,0,0,99991,0,6
0.115,4,13,19,99893,1,69
0.115,1,0,0,99989,0,8
0.115,7,10,16,99886,0,72
0.115,2,0,0,99990,1,6
0.115,3,10,17,99902,0,60
0.115,1,0,0,99989,1,7
0.115,3,7,17,99910,1,59
0.115,2,9,15,99895,1,58
0.115,4,7,6,99941,0,43
0.115,12,31,52,99682,0,188
0.115,11,1,0,99968,0,29
0.115,9,4,14,99894,1,55
0.115,0,0,0,99991,0,6
0.115,0,0,0,99991,0,6
0.115,0,0,0,99991,1,5
0.115,2,6,17,99892,0,52
0.115,3,0,0,99985,0,12
0.115,1,0,0,99991,0,6
0.115,5,7,23,99897,0,53
0.115,0,0,0,99991,1,5
0.115,0,4,13,99931,0,35
0.115,0,0,0,99991,0,6
0.115,0,2,2,99971,0,18
0.115,0,0,0,99989,0,8
0.115,8,2,13,99928,0,36
0.115,1,10,15,99909,0,60
0.115,8,13,6,99926,1,64
0.115,1,4,9,99936,0,32
0.115,4,6,21,99862,0,74
0.115,1,2,2,99955,0,23
0.115,7,21,27,99833,0,89
0.115,5,8,9,99937,0,41
0.115,3,0,0,99982,1,14
0.115,4,13,14,99884,1,63
0.115,0,0,0,99991,1,5
0.115,4,15,16,99894,0,71
0.115,3,5,5,99956,0,28
0.115,3,3,13,99921,1,45
0.115,0,0,0,99990,0,7
0.115,8,16,28,99831,1,88
0.115,3,0,0,99988,0,9
0.115,13,29,28,99800,1,125
0.115,6,11,3,99945,1,39
0.12,6,8,14,99901,0,55
0.12,0,0,0,99991,0,6
0.12,5,15,18,99858,0,85
0.12,0,0,0,99990,1,6
0.12,7,8,14,99909,0,52
0.12,2,7,20,99853,1,71
0.12,7,3,3,99954,1,34
0.12,0,13,14,99890,0,73
0.12,6,6,6,99921,1,51
0.12,0,0,0,99991,0,6
0.12,7,1,0,99981,0,16
0.12,6,4,8,99924,0,44
0.12,2,4,15,99918,0,36
0.12,0,0,0,99987,0,10
0.12,2,0,0,99991,0,6
0.12,0,0,0,99991,0,6
0.12,1,0,0,99982,2,13
0.12,0,0,0,99989,0,8
0.12,2,1,5,99955,1,28
0.12,3,9,9,99931,0,47
0.12,4,10,19,99895,0,53
0.12,4,0,0,99987,0,10
0.12,2,6,3,99966,2,24
0.12,4,1,5,99945,1,34
0.12,0,0,0,99991,0,6
0.12,0,0,0,99991,0,6
0.12,6,3,1,99974,0,22
0.12,3,5,11,99935,0,35
0.12,11,12,33,99826,3,101
0.12,2,0,0,99987,1,9
0.12,1,1,0,99987,0,10
0.12,2,5,14,99900,1,48
0.12,5,3,15,99930,0,34
0.12,5,8,9,99935,0,41
0.12,7,6,13,99861,0,65
0.12,3,9,30,99882,1,61
0.12,1,0,0,99991,0,6
0.12,7,4,8,99944,2,40
0.12,1,6,11,99944,0,40
0.12,2,11,28,99868,1,71
0.12,7,9,5,99927,0,51
0.12,9,3,1,99967,0,29
0.12,1,0,0,99991,0,6
0.12,1,10,21,99858,1,70
0.12,0,0,0,99991,0,6
0.12,3,3,12,99928,0,28
0.12,11,19,28,99822,3,103
0.12,5,7,26,99868,1,59
0.12,12,8,0,99940,2,46
0.12,4,2,3,99954,0,32
0.12,5,12,20,99862,0,61
0.12,5,6,12,99906,1,53
0.12,2,1,7,99964,0,22
0.12,8,5,1,99962,0,34
0.12,0,5,11,99926,0,37
0.12,6,6,12,99904,1,60
0.12,0,0,0,99989,0,8
0.12,5,13,12,99923,0,55
0.12,7,9,21,99862,0,68
0.12,12,14,24,99851,0,88
0.12,3,1,11,99927,0,49
0.12,2,3,8,99929,1,41
0.12,0,2,3,99976,0,16
0.12,7,10,18,99889,0,57
0.125,0,0,0,99991,0,6
0.125,3,2,3,99977,0,17
0.125,0,0,0,99989,0,8
0.125,4,20,33,99794,0,103
0.125,2,6,4,99955,1,24
0.125,5,6,9,99909,0,49
0.125,9,11,1,99954,1,41
0.125,10,25,61,99667,0,148
0.125,4,0,0,99979,0,18
0.125,4,5,4,99961,0,30
