pcontact,I_30,I_50,I_70,S_70,D_70,R_70
0.1,0,0,0,99991,0,6
0.1,3,7,5,99936,1,46
0.1,1,1,0,99989,0,8
0.1,1,0,0,99986,0,11
0.1,0,0,0,99988,0,9
0.1,0,0,0,99988,0,9
0.1,0,0,0,99987,0,10
0.1,1,0,0,99986,0,11
0.1,1,0,0,99991,1,5
0.1,3,3,0,99970,0,27
0.1,1,0,0,99989,0,8
0.1,2,0,0,99987,0,10
0.1,5,3,1,99973,0,23
0.1,4,4,4,99960,2,26
0.1,0,0,0,99991,0,6
0.1,3,5,4,99948,0,38
0.1,1,0,0,99983,0,14
0.1,3,4,8,99943,0,32
0.1,1,4,14,99916,2,42
0.1,7,1,2,99967,1,27
0.1,0,0,0,99991,0,6
0.1,2,2,0,99981,0,16
0.1,3,0,0,99990,0,7
0.1,1,0,0,99991,0,6
0.1,2,0,0,99985,0,12
0.1,0,0,0,99990,0,7
0.1,3,1,0,99984,1,12
0.1,3,10,6,99937,0,51
0.1,0,0,0,99989,0,8
0.1,2,1,0,99987,0,10
0.1,0,0,0,99989,0,8
0.1,1,1,0,99985,0,12
0.1,3,3,0,99975,1,21
0.1,2,1,1,99986,0,10
0.1,1,4,8,99947,0,30
0.1,4,2,1,99963,0,29
0.1,0,0,0,99990,0,7
0.1,6,9,13,99907,1,65
0.1,3,6,9,99932,2,41
0.1,2,0,0,99987,0,10
0.1,6,0,0,99979,0,18
0.1,1,1,2,99973,0,16
0.1,1,0,0,99991,0,6
0.1,3,0,0,99982,0,15
0.1,1,7,4,99951,0,38
0.1,2,0,0,99986,0,11
0.1,2,0,0,99991,0,6
0.1,3,6,15,99916,0,54
0.1,1,0,0,99988,0,9
0.1,4,3,1,99972,0,24
0.1,3,1,0,99985,0,12
0.1,2,0,0,99989,0,8
0.1,4,0,2,99973,0,18
0.1,2,2,0,99982,0,15
0.1,6,1,0,99981,1,15
0.1,0,0,0,99991,0,6
0.1,7,9,1,99952,0,44
0.1,2,3,7,99954,0,25
0.1,0,1,5,99969,0,18
0.1,0,4,0,99982,0,15
0.1,2,0,0,99985,0,12
0.1,3,0,0,99984,0,13
0.1,0,0,0,99991,0,6
0.1,5,1,0,99979,0,18
0.105,1,0,0,99989,1,7
0.105,1,2,0,99981,0,16
0.105,3,2,8,99947,0,27
0.105,0,23,28,99844,0,99
0.105,11,8,15,99891,1,79
0.105,0,0,0,99986,1,10
0.105,2,4,0,99977,0,20
0.105,1,0,0,99991,0,6
0.105,1,0,0,99989,0,8
0.105,5,12,17,99901,0,68
0.105,1,0,3,99979,0,14
0.105,2,0,0,99990,0,7
0.105,10,6,7,99923,0,55
0.105,2,4,7,99950,0,34
0.105,4,1,0,99978,0,19
0.105,1,0,0,99988,0,9
0.105,0,0,0,99991,1,5
0.105,1,1,0,99984,0,13
0.105,2,2,0,99980,1,16
0.105,3,3,1,99968,1,27
0.105,1,1,0,99986,0,11
0.105,0,0,0,99991,0,6
0.105,7,11,12,99880,1,95
0.105,2,0,5,99957,0,24
0.105,8,10,18,99908,0,59
0.105,3,0,0,99981,0,16
0.105,0,0,0,99988,0,9
0.105,2,1,0,99986,0,11
0.105,1,4,3,99961,1,28
0.105,3,4,11,99946,0,34
0.105,6,6,16,99927,0,44
0.105,0,0,0,99991,0,6
0.105,2,3,0,99981,0,16
0.105,0,0,0,99991,0,6
0.105,1,2,4,99962,0,23
0.105,2,0,0,99987,0,10
0.105,1,0,0,99991,0,6
0.105,5,6,4,99941,0,39
0.105,1,1,0,99986,1,10
0.105,2,1,1,99968,0,14
0.105,0,4,1,99972,0,24
0.105,0,0,0,99989,1,7
0.105,3,0,2,99974,0,19
0.105,1,0,0,99988,0,9
0.105,4,8,5,99954,0,36
0.105,0,2,0,99986,0,11
0.105,1,1,1,99991,0,5
0.105,0,0,0,99986,0,11
0.105,0,0,0,99991,0,6
0.105,2,0,0,99985,0,12
0.105,3,0,3,99966,0,24
0.105,0,0,0,99991,0,6
0.105,1,1,12,99935,0,34
0.105,5,3,5,99938,0,42
0.105,4,5,3,99952,0,30
0.105,0,0,0,99991,0,6
0.105,5,13,11,99916,0,62
0.105,0,0,0,99989,0,8
0.105,4,4,0,99967,0,29
0.105,2,1,0,99977,0,17
0.105,2,2,0,99985,0,12
0.105,0,0,0,99991,0,6
0.105,6,2,1,99968,0,28
0.105,1,0,0,99989,0,8
0.11,5,6,1,99965,1,28
0.11,2,0,0,99984,0,13
0.11,2,0,0,99985,0,12
0.11,0,0,0,99991,0,6
0.11,1,6,8,99935,0,40
0.11,7,9,10,99906,0,64
0.11,3,2,6,99958,0,29
0.11,5,2,7,99949,0,38
0.11,6,1,2,99964,0,22
