pcontact,I_30,I_50,I_70,S_70,D_70,R_70
0.1,3,2,0,99980,0,17
0.1,1,0,0,99986,0,11
0.1,5,6,5,99942,1,40
0.1,2,4,2,99958,1,31
0.1,2,0,0,99986,0,11
0.1,1,0,0,99991,0,6
0.1,3,3,10,99920,0,47
0.1,3,0,0,99988,0,9
0.1,2,3,3,99953,0,31
0.1,9,2,4,99948,1,36
0.1,0,2,3,99972,0,21
0.1,4,4,2,99960,1,32
0.1,6,4,2,99961,0,34
0.1,0,0,0,99989,1,7
0.1,1,3,1,99978,0,17
0.1,0,0,0,99991,0,6
0.1,3,8,2,99954,0,37
0.1,2,0,0,99989,0,8
0.1,1,0,0,99990,0,7
0.1,0,0,0,99991,0,6
0.1,4,6,11,99905,0,53
0.1,0,0,0,99989,0,8
0.1,1,1,1,99986,0,10
0.1,3,2,3,99945,0,39
0.1,3,2,5,99973,0,18
0.1,0,0,3,99980,0,13
0.1,0,0,0,99991,0,6
0.1,3,0,0,99987,0,10
0.1,0,0,0,99991,0,6
0.1,0,0,2,99984,0,11
0.1,1,0,0,99980,0,17
0.1,1,0,0,99990,0,7
0.1,6,8,7,99943,0,42
0.1,4,4,9,99930,0,46
0.1,0,0,0,99991,0,6
0.1,4,1,0,99981,0,16
0.1,3,1,0,99986,0,11
0.1,0,0,0,99991,0,6
0.1,2,1,1,99980,0,16
0.1,2,0,0,99985,0,12
0.1,2,7,7,99944,0,35
0.1,3,0,0,99984,0,13
0.1,0,1,0,99989,0,8
0.1,2,4,1,99977,0,19
0.1,1,0,0,99991,0,6
0.1,0,0,0,99990,0,7
0.1,1,0,0,99991,0,6
0.1,2,4,3,99965,0,25
0.1,1,0,0,99991,0,6
0.1,0,0,0,99991,0,6
0.1,1,0,0,99989,0,8
0.1,3,5,3,99949,0,41
0.1,4,5,4,99956,0,34
0.1,0,0,0,99990,0,7
0.1,0,0,0,99991,0,6
0.1,0,0,0,99989,0,8
0.1,5,2,0,99973,1,23
0.1,1,0,0,99976,0,18
0.1,0,0,0,99990,0,7
0.1,3,3,2,99969,0,26
0.1,2,0,0,99987,0,10
0.1,2,0,0,99981,0,16
0.1,1,0,0,99989,0,8
0.1,2,0,0,99987,0,10
0.105,3,7,6,99925,0,54
0.105,4,2,0,99978,0,19
0.105,8,4,6,99938,1,42
0.105,2,4,3,99965,0,24
0.105,2,6,14,99907,0,52
0.105,1,2,3,99967,0,24
0.105,4,9,1,99953,0,39
0.105,1,0,0,99982,0,15
0.105,3,3,2,99963,1,28
0.105,0,0,0,99991,0,6
0.105,0,0,0,99991,0,6
0.105,10,3,0,99966,1,30
0.105,2,1,0,99985,0,12
0.105,3,3,11,99949,0,29
0.105,2,1,2,99975,1,19
0.105,0,0,0,99990,0,7
0.105,1,1,0,99978,0,19
0.105,4,1,7,99957,0,29
0.105,1,2,0,99981,0,16
