pcontact,I_30,I_50,I_70,S_70,D_70,R_70
0.1,3,1,0,99983,0,14
0.1,1,2,0,99978,0,19
0.1,3,0,1,99967,0,26
0.1,0,0,0,99990,0,7
0.1,2,0,0,99973,0,19
0.1,2,3,6,99967,0,21
0.1,3,9,13,99906,2,59
0.1,2,0,0,99983,0,14
0.1,4,2,3,99966,0,20
0.1,1,0,0,99990,0,7
0.1,0,0,0,99991,0,6
0.1,2,0,0,99988,1,8
0.1,1,0,0,99988,0,9
0.1,0,0,0,99991,0,6
0.1,0,0,0,99991,0,6
0.1,1,0,0,99990,0,7
0.1,2,2,0,99982,1,14
0.1,0,0,0,99991,0,6
0.1,5,4,0,99973,0,24
0.1,1,5,4,99945,0,37
0.1,5,2,0,99980,0,17
0.1,0,0,0,99991,0,6
0.1,1,3,0,99983,1,13
0.1,11,18,17,99857,2,110
0.1,4,9,9,99934,1,45
0.1,4,4,7,99936,0,42
0.1,5,6,3,99943,0,49
0.1,0,0,0,99991,0,6
0.1,0,0,0,99991,0,6
0.1,2,4,12,99936,0,38
0.1,0,0,0,99991,0,6
0.1,3,1,0,99987,0,10
0.1,2,0,0,99986,0,11
0.1,1,0,0,99990,0,7
0.1,4,7,4,99940,1,38
0.1,2,1,0,99966,0,29
0.1,0,0,0,99991,0,6
0.1,1,2,0,99976,0,21
0.1,2,0,0,99987,0,10
0.1,1,0,0,99989,0,8
0.1,2,3,0,99976,0,21
0.1,2,1,0,99985,1,11
0.1,4,3,8,99945,0,42
0.1,6,7,2,99955,0,39
0.1,1,0,0,99989,0,8
0.1,3,3,7,99947,1,26
0.1,3,7,5,99923,1,47
0.1,1,0,0,99990,0,7
0.1,2,2,0,99987,0,10
0.1,0,0,0,99991,0,6
0.1,3,4,1,99982,0,14
0.1,1,0,0,99989,0,8
0.1,0,1,4,99973,0,17
0.1,1,1,0,99989,1,7
0.1,0,0,0,99991,0,6
0.1,2,9,7,99925,1,50
0.1,0,0,0,99991,0,6
0.1,0,1,0,99978,0,18
0.1,2,8,9,99919,3,52
0.1,1,4,16,99900,0,55
0.1,1,0,0,99988,0,9
0.1,0,4,1,99954,0,27
0.1,3,4,4,99965,0,22
0.1,3,2,2,99962,0,28
0.105,0,0,0,99989,0,8
0.105,3,1,0,99977,1,19
0.105,2,2,4,99967,0,23
0.105,4,10,6,99920,1,52
0.105,0,0,0,99991,0,6
0.105,0,0,0,99991,0,6
0.105,2,0,0,99987,0,10
0.105,3,0,0,99984,0,13
0.105,5,2,3,99968,0,23
0.105,2,0,3,99973,0,21
0.105,3,4,0,99977,0,18
0.105,1,1,8,99964,0,18
0.105,2,2,1,99985,0,11
0.105,1,0,0,99991,1,5
0.105,1,0,0,99987,0,10
0.105,2,1,0,99987,0,10
