suspectible,exposed,infected,carrier,dead,recovered
3999970,10,10,10,0,0
3999969,6,13,12,0,0
3999945,25,15,15,0,0
3999906,59,18,17,0,0
3999874,87,21,18,0,0
3999861,83,25,31,0,0
3999736,197,30,34,0,3
3999689,220,38,48,0,5
3999555,311,64,63,0,7
3999408,402,90,89,0,11
3999176,561,127,122,0,14
3998897,739,177,169,0,18
3998444,1050,252,233,0,21
3997836,1490,350,294,0,30
3997215,1888,465,389,0,43
3996341,2450,617,526,0,66
3994928,3448,803,726,0,95
3992907,4918,1060,982,1,132
3990246,6782,1455,1333,1,183
3986658,9345,1942,1807,1,247
3981820,12654,2669,2519,2,336
3974797,17563,3638,3537,2,463
3965055,24425,5046,4854,5,615
3952149,32950,7096,6945,5,855
3932307,46598,10023,9857,8,1207
3904385,66269,14009,13682,11,1644
3867295,91235,19820,19386,12,2252
3813334,126524,28714,28281,19,3128
3731689,180954,41808,41227,29,4293
3616897,257942,60164,58941,37,6019
3462132,362192,84909,82276,45,8446
3265578,484573,120985,116849,64,11951
2996117,644287,174694,167895,87,16920
2633283,858642,246436,237475,127,24037
2196890,1093548,344119,331175,184,34084
1708794,1316192,472257,454096,236,48425
1206765,1487885,630387,605702,349,68912
760704,1544324,815515,780742,494,98221
421353,1462740,1012065,963970,676,139196
206004,1275359,1194456,1126920,946,196315
94603,1018260,1352687,1259898,1362,273190
41776,762577,1472310,1346801,1864,374672
19434,542279,1548498,1383213,2535,504041
10641,375414,1579068,1369381,3451,662045
7127,257072,1569713,1312682,4479,848927
5734,176526,1527656,1224271,5766,1060047
5118,122563,1461374,1114142,7273,1289530
4974,87083,1376262,992030,8775,1530876
4817,64073,1278499,866998,10467,1775146
4675,48904,1173476,745383,12193,2015369
4458,38754,1066506,632555,13878,2243849
4384,31370,960173,530465,15551,2458057
4517,25791,857069,440239,17244,2655140
4658,21707,760065,362597,18813,2832160
4810,18358,669444,296807,20193,2990388
5006,15460,586863,241764,21489,3129418
5407,12930,512262,196068,22648,3250685
5676,10811,445345,158927,23698,3355543
5990,9023,386129,128766,24599,3445493
6309,7491,333814,103925,25325,3523136
6578,6202,288077,83972,26021,3589150
6816,5090,248214,67935,26614,3645331
7072,4158,213669,55108,27149,3692844
7234,3406,183719,44726,27635,3733280
7411,2773,157909,36127,28027,3767753
7539,2224,135651,29549,28367,3796670
7657,1747,116556,24106,28638,3821296
7764,1382,100041,19629,28889,3842295
7842,1062,85880,16071,29111,3860034
7902,770,73797,13193,29295,3875043
7959,562,63444,10812,29454,3887769
8017,389,54540,8799,29605,3898650
8054,232,46774,7206,29725,3908009
8087,144,40271,5870,29828,3915800
8119,90,34565,4780,29919,3922527
8142,42,29734,3915,29979,3928188
8160,20,25547,3182,30033,3933058
8174,12,21913,2578,30094,3937229
8182,6,18825,2078,30134,3940775
8194,4,16197,1716,30166,3943723
8199,2,13933,1393,30193,3946280
8204,-1,11989,1147,30217,3948444
8208,-4,10361,914,30245,3950276
8212,-6,8907,730,30269,3951888
8214,-9,7648,589,30279,3953279
8218,-9,6564,479,30293,3954455
8221,-9,5659,385,30306,3955438
8224,-9,4881,322,30313,3956269
8224,-9,4265,266,30320,3956934
8226,-9,3742,221,30326,3957494
8226,-9,3257,177,30334,3958015
8226,-9,2830,151,30337,3958465
8228,-9,2460,125,30346,3958850
8229,-9,2151,107,30354,3959168
8229,-9,1887,85,30356,3959452
8230,-9,1653,72,30358,3959696
8230,-9,1468,61,30364,3959886
8230,-9,1270,50,30368,3960091
8230,-9,1105,42,30369,3960263
8230,-9,978,35,30372,3960394
