suspectible,exposed,infected,carrier,dead,recovered
3799985,5,5,5,0,0
3799985,5,5,5,0,0
3799985,4,5,6,0,0
3799984,3,7,6,0,0
3799984,3,7,6,0,0
3799983,3,7,7,0,0
3799983,2,8,7,0,0
3799982,3,8,7,0,0
3799980,5,8,7,0,0
3799980,5,8,6,0,1
3799980,3,8,7,0,2
3799980,3,7,7,0,3
3799980,2,7,8,0,3
3799977,4,8,7,0,4
3799976,5,7,7,0,5
3799976,4,7,8,0,5
3799973,7,7,8,0,5
3799971,7,7,9,0,6
3799971,2,6,14,0,7
3799967,6,6,14,0,7
3799964,9,5,13,0,9
3799960,8,7,15,0,10
3799955,12,8,14,0,11
3799948,17,7,15,0,13
3799942,20,9,14,1,14
3799937,19,14,14,1,15
3799930,24,16,12,1,17
3799925,25,17,14,1,18
3799922,19,22,18,1,18
3799909,26,24,21,1,19
3799896,37,24,22,1,20
3799883,48,23,21,1,24
3799865,56,27,26,1,25
3799847,65,30,29,1,28
3799824,78,35,32,1,30
3799806,75,44,41,1,33
3799778,90,47,46,1,38
3799751,105,57,46,1,40
3799720,114,66,55,1,44
3799692,124,73,60,1,50
3799650,140,85,69,1,55
3799607,157,98,76,1,61
3799550,188,110,81,1,70
3799472,231,132,82,1,82
3799411,252,151,93,1,92
3799328,300,164,102,1,105
3799244,342,187,107,1,119
3799161,351,215,139,1,133
3799070,364,251,169,1,145
3798951,407,279,195,1,167
3798801,484,306,222,1,186
3798667,546,328,251,1,207
3798446,664,363,296,1,230
3798241,741,406,352,1,259
3797978,854,461,410,2,295
3797637,1042,522,452,2,345
3797277,1206,585,527,2,403
3796879,1377,679,627,3,435
3796397,1602,778,715,4,504
3795825,1884,883,833,4,571
3795140,2235,1016,944,6,659
3794419,2523,1207,1103,6,742
3793606,2914,1377,1250,6,847
3792676,3317,1611,1430,8,958
3791621,3761,1848,1660,8,1102
3790453,4232,2144,1897,8,1266
3789033,4837,2468,2187,9,1466
3787416,5570,2844,2492,12,1666
3785485,6440,3281,2860,14,1920
3783291,7430,3747,3299,18,2215
3780811,8540,4291,3803,19,2536
3777990,9756,4913,4385,21,2935
3774824,11066,5665,5043,22,3380
3771047,12697,6536,5788,27,3905
3766734,14527,7537,6664,30,4508
3761984,16533,8590,7639,34,5220
3756425,18925,9858,8751,41,6000
3750049,21558,11374,10102,45,6872
3742886,24573,13007,11657,47,7830
3734537,27980,15086,13368,52,8977
3724967,31900,17358,15376,60,10339
3714261,36215,19881,17684,68,11891
3701772,41257,22965,20234,81,13691
3687609,46937,26440,23205,97,15712
3671671,53128,30329,26655,111,18106
3653658,59797,34823,30817,125,20780
3646164,54359,40042,35405,149,23881
3637632,49646,45154,39916,168,27484
3627970,47271,49528,43468,192,31571
3617572,46378,53124,46418,226,36282
3606766,46461,56231,48506,262,41774
3595515,47167,58960,50107,307,47944
3583916,47856,61567,51624,338,54699
3572140,48932,63696,52507,378,62347
3560212,49851,65719,53412,435,70371
3548263,50775,67420,53954,491,79097
3536389,51201,69072,54464,545,88329
3524368,51443,70704,55121,618,97746
3512314,51745,72206,55754,675,107306
3500370,51704,73666,56592,752,116916
3488397,51854,74925,57202,810,126812
3476401,51913,76235,57596,898,136957
3464674,51812,77304,57972,968,147270
3452821,51754,78226,58372,1030,157797
3440966,51569,79220,58571,1102,168572
3429401,51289,79811,58915,1176,179408
3417905,50977,80378,59251,1264,190225
3406401,50619,80742,59555,1354,201329
3394965,50270,81254,59563,1431,212517
3383624,50012,81479,59611,1534,223740
3372530,49422,81696,59617,1614,235121
3361477,48901,81767,59491,1721,246643
3350684,48414,81512,59340,1787,258263
3340039,47816,81495,59257,1879,269514
3329509,47235,81188,58964,1954,281150
3319169,46440,80936,58823,2046,292586
3308970,45813,80581,58327,2151,304158
3299125,44801,80152,57956,2240,315726
3289586,43841,79657,57430,2343,327143
3280009,43257,79049,56647,2425,338613
3270761,42528,78415,55790,2512,349994
3261720,41763,77667,54817,2607,361426
3253171,40557,76834,54136,2706,372596
3244215,39959,75859,53242,2786,383939
3235833,39280,74608,52314,2855,395110
3227833,38068,73677,51454,2930,406038
3220034,36980,72549,50604,3015,416818
3212397,36150,71291,49487,3096,427579
3204950,35315,70124,48363,3192,438056
3197869,34339,68711,47160,3282,448639
3190845,33409,67481,46097,3368,458800
3184214,32319,66170,45074,3438,468785
3177780,31255,64910,44073,3505,478477
3171418,30403,63317,43093,3578,488191
3165278,29690,61708,41937,3652,497735
3159291,28819,60238,40980,3733,506939
3153488,28006,58891,39841,3804,515970
3148164,26934,57465,38695,3876,524866
3142814,25995,56128,37683,3932,533448
3137589,25216,54714,36631,4005,541845
3132660,24374,53299,35515,4049,550103
3127930,23430,51750,34535,4117,558238
3123184,22729,50361,33535,4180,566011
3118803,21994,48893,32406,4234,573670
3114510,21257,47417,31434,4285,581097
3110444,20627,45882,30239,4356,588452
3106608,19981,44459,29120,4410,595422
3102920,19183,43148,27976,4464,602309
3099341,18380,41754,27085,4515,608925
3095975,17606,40468,26116,4574,615261
3092654,16968,39023,25273,4628,621454
3089508,16248,37710,24472,4693,627369
3086478,15738,36347,23423,4736,633278
3083389,15271,35023,22509,4785,639023
3080601,14631,33730,21738,4828,644472
3077835,14075,32675,20969,4873,649573
3075235,13497,31542,20237,4916,654573
3072791,13001,30360,19378,4958,659512
3070367,12569,29275,18651,4997,664141
3068051,12129,28273,17925,5038,668584
3065838,11552,27326,17266,5073,672945
3063798,11094,26188,16532,5105,677283
