suspectible,exposed,infected,carrier,dead,recovered
3799985,5,5,5,0,0
3799985,5,5,5,0,0
3799985,4,6,5,0,0
3799985,2,6,7,0,0
3799985,2,6,7,0,0
3799985,1,6,8,0,0
3799985,0,6,9,0,0
3799984,1,6,9,0,0
3799984,1,6,9,0,0
3799984,1,6,9,0,0
3799983,2,5,8,0,2
3799983,1,4,9,0,3
3799981,3,4,8,0,4
3799981,3,4,7,0,5
3799980,4,4,7,0,5
3799979,4,5,7,0,5
3799979,4,5,7,0,5
3799977,6,3,7,0,7
3799976,6,3,7,0,8
3799976,4,5,7,0,8
3799976,3,5,8,0,8
3799974,5,5,8,0,8
3799970,8,6,7,0,9
3799964,14,6,7,0,9
3799962,15,6,7,0,10
3799961,12,8,9,0,10
3799957,14,10,9,0,10
3799953,15,10,12,0,10
3799944,23,10,12,0,11
3799937,26,11,12,0,14
3799926,31,12,16,0,15
3799915,38,13,17,0,17
3799902,42,14,23,0,19
3799894,39,20,28,0,19
3799871,55,21,34,0,19
3799853,67,25,36,0,19
3799828,84,31,35,0,22
3799812,87,35,41,0,25
3799798,85,43,46,0,28
3799767,98,56,49,0,30
3799742,102,66,55,0,35
3799712,111,72,66,0,39
3799677,117,78,84,0,44
3799615,156,87,95,0,47
3799555,193,94,98,0,60
3799488,232,110,103,0,67
3799419,249,138,121,0,73
3799355,269,164,117,0,95
3799252,329,179,125,0,115
3799156,358,204,153,1,128
3799029,426,221,177,1,146
3798884,487,254,208,2,165
3798740,553,274,241,2,190
3798585,598,323,266,2,226
3798374,698,362,308,2,256
3798169,774,415,358,2,282
3797911,916,459,387,2,325
3797639,1025,525,453,2,356
3797326,1168,592,504,2,408
3796987,1292,666,593,2,460
3796571,1447,782,684,2,514
3796115,1638,896,764,2,585
3795624,1829,1007,876,2,662
3795039,2053,1145,1013,4,746
3794300,2400,1282,1157,4,857
3793486,2782,1473,1281,4,974
3792540,3251,1667,1428,6,1108
3791490,3722,1883,1608,6,1291
3790369,4184,2159,1813,6,1469
3789133,4655,2470,2074,6,1662
3787644,5243,2840,2363,8,1902
3786022,5822,3252,2735,11,2158
3784114,6637,3705,3101,13,2430
3781962,7514,4183,3575,19,2747
3779576,8436,4735,4122,19,3112
3776823,9587,5354,4655,25,3556
3773689,10880,6049,5308,26,4048
3770040,12442,6827,6041,28,4622
3766072,14028,7756,6828,31,5285
3761481,15926,8782,7772,35,6004
3756372,17914,10020,8801,43,6850
3750561,20126,11482,10030,46,7755
3743924,22779,13066,11365,52,8814
3736400,25699,14892,12931,58,10020
3728082,28676,17158,14642,66,11376
3718594,32280,19491,16655,71,12909
3715940,28331,21969,19075,73,14612
3712787,24726,24585,21173,89,16640
3709280,22075,26734,22948,100,18863
3705523,20381,28427,24115,120,21434
3701503,19501,29631,24734,135,24496
3697322,19160,30572,24864,165,27917
3693305,18785,31212,24813,189,31696
3689261,18631,31622,24518,212,35756
3685150,18692,31770,24139,242,40007
3681230,18528,31769,23684,274,44515
3677342,18312,31695,23299,311,49041
3673599,18067,31511,22786,341,53696
3669831,17892,31249,22306,378,58344
3666252,17565,31008,21754,403,63018
3662749,17238,30632,21447,434,67500
3659357,16779,30227,21088,469,72080
3655991,16368,29812,20824,507,76498
3652557,16153,29406,20424,541,80919
3649268,15924,28930,19970,583,85325
3646090,15542,28526,19591,616,89635
3642911,15379,28059,19210,650,93791
3639799,15116,27624,18817,674,97970
3636810,14771,27213,18528,710,101968
3633898,14341,26830,18157,736,106038
3631027,14063,26261,17850,762,110037
3628196,13831,25870,17599,785,113719
3625466,13529,25414,17308,812,117471
3622833,13176,24860,17013,847,121271
3620225,12901,24420,16710,871,124873
3617609,12688,23907,16373,893,128530
3614959,12516,23426,16085,925,132089
3612467,12280,22894,15793,955,135611
3610160,11908,22496,15485,980,138971
3607759,11589,22135,15184,1002,142331
3605499,11369,21698,14793,1026,145615
3603280,11184,21143,14483,1055,148855
3601138,10944,20677,14103,1082,152056
3598991,10635,20321,13831,1110,155112
3596874,10439,19899,13489,1136,158163
3594757,10203,19507,13200,1153,161180
3592769,10026,19120,12848,1174,164063
3590819,9837,18730,12515,1199,166900
3589029,9409,18337,12372,1218,169635
3587185,9110,17969,12123,1240,172373
3585473,8804,17570,11845,1259,175049
3582015,10330,17181,11547,1277,177650
3578716,11712,16809,11338,1293,180132
3575471,12626,16642,11302,1311,182648
3572274,13260,16666,11384,1338,185078
3569103,13773,16767,11586,1357,187414
3565853,14187,16917,11866,1373,189804
3562471,14619,17111,12228,1391,192180
3559031,14945,17489,12709,1414,194412
3555481,15311,17883,13167,1427,196731
3551719,15776,18365,13613,1448,199079
3547946,16090,18924,14115,1471,201454
3544038,16483,19521,14685,1488,203785
3540011,16975,20037,15142,1510,206325
3535860,17599,20583,15591,1524,208843
3531431,18360,21214,16084,1543,211368
3527014,18930,21789,16586,1561,214120
3522573,19297,22480,17205,1575,216870
3517921,19771,23164,17800,1593,219751
3513091,20292,23908,18339,1611,222759
3508183,20790,24719,18887,1631,225790
3503220,21260,25462,19512,1656,228890
3498096,21697,26291,20074,1680,232162
3492807,22248,27059,20616,1706,235564
3487571,22721,27725,21109,1738,239136
3482222,23085,28505,21750,1772,242666
3476643,23644,29286,22352,1793,246282
3470822,24416,29983,22919,1824,250036
3465061,24769,30818,23575,1844,253933
3459220,25112,31648,24220,1875,257925
3453208,25632,32355,24782,1899,262124
3447115,26058,33221,25408,1924,266274
3440850,26454,34120,26060,1953,270563
3434321,27076,35020,26614,1998,274971
