suspectible,exposed,infected,carrier,dead,recovered
3799985,5,5,5,0,0
3799985,5,5,5,0,0
3799985,4,6,5,0,0
3799985,2,7,6,0,0
3799984,3,7,6,0,0
3799984,2,8,6,0,0
3799984,1,8,7,0,0
3799983,2,8,7,0,0
3799982,3,8,7,0,0
3799981,4,7,7,0,1
3799981,3,6,8,0,2
3799981,2,6,8,0,3
3799981,2,6,8,0,3
3799981,1,7,8,0,3
3799979,3,7,7,0,4
3799978,3,8,5,0,6
3799978,3,8,5,0,6
3799978,3,7,5,0,7
3799978,2,7,5,0,8
3799978,1,6,6,0,9
3799977,2,5,6,0,10
3799977,1,5,7,0,10
3799974,4,5,7,0,10
3799970,7,5,7,0,11
3799961,15,4,7,0,13
3799957,18,5,7,0,13
3799954,17,8,8,0,13
3799948,21,9,9,0,13
3799943,21,9,12,0,15
3799932,27,11,15,0,15
3799917,41,12,15,0,15
3799901,51,15,18,0,15
3799885,59,21,19,0,16
3799874,59,26,22,0,19
3799854,70,27,28,1,20
3799824,86,32,33,1,24
3799779,115,38,39,2,27
3799739,137,44,47,2,31
3799672,183,53,55,2,35
3799612,223,63,62,2,38
3799536,261,81,75,2,45
3799484,263,105,92,2,54
3799422,273,124,116,2,63
3799351,284,154,141,2,68
3799237,338,182,165,2,76
3799128,399,195,186,2,90
3798983,459,233,216,2,107
3798807,559,272,230,2,130
3798631,644,305,268,2,150
3798420,729,352,320,2,177
3798191,828,402,374,2,203
3797909,969,455,420,2,245
3797578,1118,522,503,4,275
3797230,1274,592,578,4,322
3796808,1474,683,655,4,376
3796335,1691,781,749,5,439
3795788,1928,911,862,5,506
3795095,2293,1040,986,6,580
3794369,2624,1192,1132,6,677
3793576,2936,1394,1292,6,796
3792692,3239,1645,1501,6,917
3791701,3673,1850,1680,7,1089
3790615,4041,2148,1939,9,1248
3789253,4640,2471,2175,9,1452
3787776,5271,2789,2477,9,1678
3786097,5991,3127,2839,10,1936
3784130,6826,3586,3221,11,2226
3781903,7766,4082,3656,12,2581
3779434,8756,4693,4164,16,2937
3776671,9842,5370,4735,18,3364
3773553,11081,6082,5399,24,3861
3770063,12490,6898,6143,28,4378
3766206,13923,7776,6992,34,5069
3761681,15746,8827,7911,38,5797
3756440,17915,10021,8932,43,6649
3750613,20179,11421,10141,49,7597
3744028,22788,12928,11510,58,8688
3736648,25567,14826,12968,66,9925
3728164,28914,16880,14661,75,11306
3718835,32353,19262,16586,87,12877
3708295,36156,21869,18875,101,14704
3705195,31740,24831,21409,115,16710
3701739,27233,27896,24043,128,18961
3697852,24331,30241,25863,143,21570
3693728,22348,32077,27226,156,24465
3689329,21388,33351,27907,169,27856
3684784,20931,34306,28225,203,31551
3680215,20663,34989,28189,224,35720
3675606,20586,35349,27932,255,40272
3671046,20594,35438,27437,295,45190
3666667,20437,35505,26896,332,50163
3662252,20381,35297,26333,381,55356
3658003,20221,35027,25751,422,60576
3653957,19735,34812,25245,465,65786
3649928,19334,34659,24724,495,70860
3645915,19022,34250,24235,534,76044
3642057,18593,33783,23864,568,81135
3638338,18260,33220,23453,605,86124
3634690,17781,32828,23025,646,91030
3631121,17360,32350,22560,685,95924
3627586,17059,31915,22178,713,100549
3624198,16630,31370,21721,755,105326
3620974,16137,30848,21207,789,110045
3617660,15821,30406,20725,818,114570
3614470,15550,29835,20195,851,119099
3611355,15165,29255,19797,881,123547
3608323,14859,28662,19392,907,127857
3605410,14534,28047,19024,942,132043
3602512,14200,27483,18611,971,136223
3599760,13710,26945,18186,997,140402
3596936,13481,26358,17801,1027,144397
3594205,13220,25803,17342,1060,148370
3591587,12944,25095,17064,1085,152225
3589105,12566,24618,16663,1113,155935
3586699,12193,24044,16327,1142,159595
3584235,12010,23497,15874,1163,163221
3581892,11679,23103,15519,1182,166625
3579600,11443,22539,15150,1210,170058
3577321,11171,22103,14790,1235,173380
3575187,10906,21481,14402,1258,176766
3573058,10604,20924,14065,1290,180059
3569412,11932,20455,13662,1326,183213
3565984,13015,20002,13346,1347,186306
3562672,13707,19731,13179,1369,189342
3559421,14194,19526,13184,1395,192280
3556233,14457,19502,13280,1420,195108
3552996,14531,19598,13524,1443,197908
3549647,14750,19774,13782,1462,200585
3546316,14932,19956,14017,1485,203294
3542889,15229,20145,14270,1509,205958
3539517,15364,20384,14606,1528,208601
3535977,15599,20752,14921,1551,211200
3532343,15920,20963,15248,1568,213958
3528709,16190,21228,15493,1586,216794
3524827,16648,21578,15804,1615,219528
3520977,16861,21997,16129,1641,222395
3517071,17264,22260,16450,1666,225289
3513102,17508,22744,16740,1691,228215
3509058,17896,23060,17054,1717,231215
3505048,18043,23383,17471,1737,234318
3500776,18318,23897,17750,1758,237501
3496572,18499,24363,18049,1783,240734
3492387,18566,24831,18449,1803,243964
3487988,18889,25277,18783,1828,247235
3483582,19265,25601,19178,1837,250537
3478955,19614,26280,19407,1850,253894
3474443,19857,26820,19632,1871,257377
3469997,20015,27243,19916,1904,260925
3465423,20229,27688,20266,1935,264459
3460925,20282,28152,20500,1964,268177
3456350,20342,28565,20789,1990,271964
3451751,20463,28982,21099,2018,275687
3447052,20583,29348,21437,2051,279529
3442256,20950,29632,21628,2083,283451
3437434,21107,29903,21966,2111,287479
3432636,21293,30196,22197,2150,291528
3428077,21204,30550,22423,2186,295560
3423189,21514,30604,22726,2213,299754
3418180,21935,30792,22886,2244,303963
3413405,21850,31114,23124,2269,308238
3408562,21901,31428,23312,2303,312494
3403690,21962,31719,23465,2336,316828
