suspectible,exposed,infected,carrier,dead,recovered,new_inf
3799985,5,5,5,0,0,0
3799982,8,5,5,0,0,0
3799982,6,6,6,0,0,1
3799980,7,7,6,0,0,1
3799975,10,7,7,0,1,0
3799966,18,7,7,0,2,0
3799947,35,8,7,0,3,1
3799936,39,14,8,0,3,6
3799924,46,17,10,0,3,3
3799907,55,20,14,0,4,4
3799890,66,23,15,0,6,4
3799871,79,24,18,0,8,2
3799851,81,33,24,0,11,9
3799824,91,36,32,0,17,6
3799790,112,41,38,0,19,6
3799760,118,53,48,0,21,14
3799718,136,65,59,0,22,12
3799675,156,67,72,0,30,7
3799607,197,79,82,0,35,13
3799535,240,97,89,0,39,19
3799460,268,116,107,0,49,22
3799364,322,137,120,0,57,24
3799254,379,152,135,0,80,26
3799121,453,172,160,1,93,30
3798962,536,195,195,1,111,30
3798740,665,229,239,1,126,39
3798482,808,283,288,1,138,60
3798144,1006,352,334,1,163,77
3797756,1211,438,394,1,200,101
3797379,1368,550,476,1,226,119
3796896,1616,644,563,1,280,118
3796631,1593,764,697,1,314,137
3796326,1598,901,803,1,371,155
3795948,1642,1059,905,1,445,184
3795574,1686,1173,1046,1,520,136
3795108,1799,1319,1142,1,631,192
3794623,1908,1454,1267,2,746,190
3794067,2086,1605,1345,5,892,207
3793487,2241,1742,1451,6,1073,207
3792855,2429,1887,1555,7,1267,229
3792158,2649,2050,1686,9,1448,237
3791411,2926,2197,1761,9,1696,248
3790598,3208,2376,1887,11,1920,285
3789710,3492,2560,2024,13,2201,302
3788700,3848,2778,2178,16,2480,346
3787660,4142,3022,2389,16,2771,371
3786420,4580,3286,2622,17,3075,403
3785163,4935,3574,2881,17,3430,448
3783836,5293,3899,3165,17,3790,490
3782351,5769,4220,3453,18,4189,514
3780675,6348,4568,3754,20,4635,561
3778934,6908,4973,4050,23,5112,626
3776983,7560,5401,4355,26,5675,658
3774916,8196,5850,4752,34,6252,716
3772558,8916,6415,5214,35,6862,808
3770035,9735,6958,5714,40,7518,849
3767487,10403,7585,6269,42,8214,932
3764552,11236,8301,6868,48,8995,1057
3761241,12368,8975,7451,53,9912,1109
3757634,13531,9737,8162,56,10880,1195
3753770,14710,10690,8857,63,11910,1394
3752472,13046,11661,9721,69,13031,1487
3750972,11529,12674,10436,78,14311,1574
3749414,10403,13452,11046,87,15598,1350
3747740,9498,14092,11499,98,17073,1291
3746053,8966,14515,11627,112,18727,1159
3744311,8683,14733,11699,127,20447,1002
3742566,8533,14845,11535,146,22375,979
3740826,8437,14896,11296,159,24386,921
3739151,8256,14918,11062,169,26444,960
3737568,8021,14846,10865,185,28515,921
3736049,7833,14681,10576,203,30658,862
3734485,7734,14434,10309,222,32816,836
3732995,7574,14182,10022,239,34988,834
3731549,7386,13875,9781,248,37161,798
3730098,7252,13571,9560,260,39259,788
3728790,6983,13370,9246,274,41337,819
3727401,6889,13061,8970,290,43389,729
3726071,6646,12829,8765,301,45388,820
3724813,6497,12565,8506,314,47305,735
3723564,6360,12295,8316,330,49135,704
3722283,6276,12010,8075,347,51009,684
3721047,6167,11706,7848,368,52864,699
3719842,6051,11448,7633,379,54647,658
3718699,5919,11150,7479,389,56364,659
3717571,5777,10920,7291,403,58038,660
3716460,5657,10654,7131,417,59681,626
3715357,5536,10315,6976,431,61385,606
3714314,5404,10157,6807,446,62872,616
3713324,5286,9870,6681,462,64377,528
3712340,5174,9657,6517,472,65840,578
3710576,5843,9434,6364,483,67300,557
3708892,6377,9281,6196,492,68762,607
3707253,6718,9240,6206,503,70080,679
3705612,7027,9226,6216,516,71403,673
3703943,7294,9245,6269,521,72728,717
3702300,7435,9306,6421,530,74008,752
3700649,7621,9372,6496,535,75327,742
3699031,7637,9507,6677,541,76607,801
3697298,7701,9665,6909,550,77877,848
3695505,7861,9793,7092,556,79193,818
3693735,8003,9923,7288,566,80485,779
3691895,8206,10147,7357,575,81820,879
3689944,8477,10302,7570,588,83119,843
3688003,8686,10463,7783,603,84462,851
3685996,8787,10748,8020,612,85837,984
3683983,9036,10946,8197,624,87214,887
3681968,9102,11243,8402,637,88648,997
3679929,9297,11423,8589,644,90118,928
3677822,9450,11696,8777,659,91596,999
3675590,9725,11987,8999,669,93030,992
3673421,9883,12232,9197,679,94588,1006
3671071,10149,12504,9352,690,96234,1063
3668721,10437,12752,9471,700,97919,1038
3666352,10579,13059,9655,711,99644,1135
3663971,10717,13306,9913,721,101372,1100
3661557,10923,13551,10146,734,103089,1085
3659015,11138,13867,10427,749,104804,1166
3656471,11289,14151,10636,768,106685,1196
3653892,11495,14389,10887,782,108555,1209
3651242,11723,14671,11054,798,110512,1243
3649449,11041,15026,11263,818,112403,1286
3647633,10433,15220,11497,838,114379,1205
3645792,9993,15348,11564,854,116449,1132
3643969,9580,15549,11557,866,118479,1146
3642147,9223,15620,11537,880,120593,1139
3640235,9106,15607,11398,899,122755,1010
3638512,8843,15550,11277,920,124898,1022
3636705,8709,15505,11076,928,127077,984
3634986,8579,15358,10887,943,129247,940
3633258,8513,15091,10665,964,131509,899
3631533,8422,14964,10378,988,133715,948
3629915,8234,14745,10137,1010,135959,902
3628301,7989,14492,10000,1024,138194,928
3626724,7871,14289,9820,1038,140258,864
3625202,7711,14059,9665,1058,142305,860
3623650,7652,13795,9460,1069,144374,845
3622155,7495,13502,9306,1085,146457,821
3620766,7329,13242,9054,1099,148510,780
3619361,7057,13024,8892,1120,150546,862
3618025,6874,12749,8770,1135,152447,742
3616654,6751,12534,8600,1146,154315,777
3615356,6623,12282,8460,1158,156121,698
3614114,6426,12097,8322,1176,157865,723
3612868,6212,11865,8151,1195,159709,753
3611645,6074,11647,7983,1212,161439,693
3610471,5922,11416,7780,1230,163181,681
3609349,5763,11180,7588,1240,164880,642
3608239,5627,10912,7346,1258,166618,656
3607162,5487,10708,7104,1272,168267,652
3606115,5328,10514,6953,1280,169810,637
3604526,5770,10275,6763,1293,171373,578
3602921,6190,10072,6664,1302,172851,565
3601309,6577,9905,6565,1309,174335,613
3599823,6793,9776,6484,1315,175809,662
3598366,6862,9672,6533,1324,177243,692
3596929,6921,9606,6571,1338,178635,710
3595462,6982,9629,6591,1348,179988,722
3593984,6996,9592,6691,1358,181379,715
3592447,7031,9688,6812,1372,182650,775
3590908,7058,9801,6882,1379,183972,811
3589391,7142,9821,6929,1393,185324,722
3587793,7249,9894,6992,1404,186668,750
3586246,7235,9984,7130,1414,187991,808
3584659,7289,10077,7250,1423,189302,776
3583060,7378,10175,7260,1432,190695,791
3581348,7521,10272,7367,1443,192049,775
3579725,7617,10308,7495,1448,193407,739
3577998,7756,10398,7579,1458,194811,804
3576308,7901,10513,7607,1466,196205,801
3574625,7986,10586,7694,1478,197631,792
3572939,7932,10755,7882,1491,199001,870
3571198,7966,10863,7941,1500,200532,860
3569480,7983,10998,8054,1511,201974,844
3567754,7973,11095,8236,1519,203423,836
3565924,8141,11095,8328,1530,204982,804
3564169,8252,11144,8340,1546,206549,827
3562354,8252,11231,8456,1560,208147,912
3560473,8383,11337,8528,1567,209712,879
3558662,8451,11420,8641,1583,211243,860
3556855,8450,11543,8723,1598,212831,935
3555403,8189,11612,8783,1610,214403,857
3553931,7903,11728,8816,1622,216000,894
3552571,7585,11792,8790,1638,217624,855
3551147,7229,11871,8822,1646,219285,901
3549706,7040,11930,8737,1654,220933,846
3548274,6929,11860,8588,1663,222686,770
3546921,6803,11732,8481,1677,224386,728
3545523,6812,11637,8290,1691,226047,732
3544159,6734,11561,8175,1703,227668,732
3542841,6583,11428,8054,1717,229377,724
3541513,6510,11298,7944,1727,231008,706
3540251,6422,11172,7803,1738,232614,706
3539088,6208,11020,7620,1748,234316,715
3537844,6172,10804,7484,1767,235929,622
3536708,5988,10626,7357,1786,237535,699
3535471,5923,10544,7196,1804,239062,674
3534329,5778,10379,7073,1821,240620,665
3533223,5683,10226,6894,1832,242142,625
3532118,5603,10060,6759,1846,243614,604
3531012,5530,9923,6619,1851,245065,605
3529951,5382,9795,6512,1859,246501,624
3528905,5264,9687,6407,1885,247852,592
3527877,5233,9436,6263,1894,249297,529
3526860,5142,9360,6135,1900,250603,575
3525858,5039,9163,6055,1915,251970,540
3524923,4907,8980,5979,1929,253282,531
3523963,4788,8829,5915,1940,254565,538
3523012,4722,8666,5833,1948,255819,535
3522083,4613,8444,5733,1959,257168,518
3521144,4563,8270,5622,1963,258438,508
3519939,4785,8125,5526,1971,259654,505
3518766,5058,7976,5431,1984,260785,456
3517628,5245,7879,5307,1989,261952,493
3516566,5240,7790,5252,2006,263146,551
3515495,5252,7690,5236,2019,264308,537
3514416,5230,7641,5249,2026,265438,525
3513347,5216,7608,5288,2038,266503,536
3512231,5252,7593,5348,2045,267531,547
3511122,5224,7603,5368,2053,268630,584
3509997,5279,7589,5404,2062,269669,529
3508940,5238,7600,5393,2071,270758,568
3507843,5276,7568,5437,2083,271793,513
3506776,5248,7583,5454,2089,272850,562
3505719,5236,7607,5456,2095,273887,546
3504637,5216,7608,5488,2099,274952,564
3503520,5150,7671,5558,2114,275987,586
3502407,5159,7719,5570,2122,277023,548
3501238,5253,7720,5556,2138,278095,565
3500104,5346,7729,5510,2144,279167,540
3498999,5303,7732,5530,2149,280287,590
3497888,5244,7783,5564,2161,281360,600
3496816,5262,7775,5519,2169,282459,540
3495721,5244,7802,5564,2178,283491,575
3494603,5264,7760,5547,2191,284635,550
3493539,5193,7773,5584,2197,285714,562
3492442,5184,7762,5618,2203,286791,552
3491262,5313,7724,5599,2211,287891,533
3490105,5361,7759,5614,2220,288941,565
3489027,5333,7784,5577,2229,290050,570
