suspectible,exposed,infected,carrier,dead,recovered,idx
3799985,5,5,5,0,0,1
3799985,5,5,5,0,0,1
3799985,4,6,5,0,0,1
3799985,2,7,6,0,0,1
3799985,2,7,6,0,0,1
3799985,1,8,6,0,0,1
3799985,0,8,7,0,0,1
3799984,1,7,7,0,1,1
3799982,3,7,7,0,1,1
3799981,4,7,6,0,2,1
3799981,3,6,7,0,3,1
3799980,2,5,9,1,3,1
3799977,4,5,10,1,3,1
3799974,6,6,10,1,3,1
3799967,13,6,10,1,3,1
3799956,22,8,9,1,4,1
3799947,28,10,10,1,4,1
3799937,34,9,14,1,5,1
3799926,39,12,16,1,6,1
3799910,50,15,18,1,6,1
3799891,55,18,28,1,7,1
3799857,81,18,32,1,11,1
3799815,108,25,38,1,13,1
3799765,143,29,47,1,15,1
3799700,192,37,52,1,18,1
3799636,220,53,69,1,21,1
3799556,259,68,90,1,26,1
3799446,323,86,110,1,34,1
3799329,378,122,134,1,36,1
3799153,479,158,160,1,49,1
3799001,549,199,194,1,56,1
3798808,636,239,250,1,66,1
3798581,747,299,286,1,86,1
3798299,878,381,327,2,113,1
3798011,1011,448,388,2,140,1
3797606,1249,526,442,4,173,1
3797113,1523,622,530,4,208,1
3796533,1845,728,638,4,252,1
3795895,2168,863,777,4,293,1
3795167,2497,1063,903,4,366,1
3794256,2979,1262,1063,4,436,1
3793159,3502,1492,1295,6,546,1
3791892,4155,1760,1520,7,666,1
3790355,4959,2091,1774,7,814,1
3788604,5820,2478,2113,9,976,1
3786491,6931,2903,2517,10,1148,1
3784151,8050,3377,2987,11,1424,1
3781213,9583,3971,3543,14,1676,1
3777857,11097,4717,4314,14,2001,1
3773701,13224,5605,5090,15,2365,1
3768680,15770,6706,6053,20,2771,1
3762852,18787,7899,7135,24,3303,1
3755793,22321,9342,8596,27,3921,1
3747451,26493,11121,10217,35,4683,1
3737386,31460,13303,12165,43,5643,1
3725618,37137,15892,14550,49,6754,1
3711356,43881,19191,17503,56,8013,1
3694340,52128,23002,20957,62,9511,1
3674357,61528,27546,25187,77,11305,1
3651114,71945,33064,30355,94,13428,1
3622970,85208,39490,36306,103,15923,1
3589947,100277,47370,43374,120,18912,1
3551726,117212,56541,51895,142,22484,1
3507214,136912,67281,61541,159,26893,1
3456654,157475,80195,73267,189,32220,1
3398653,180766,94919,86855,231,38576,1
3332997,205577,112341,102717,279,46089,1
3259728,232017,132503,120535,335,54882,1
3178981,259095,155285,140768,389,65482,1
3090810,287059,180433,163061,463,78174,1
2995569,314202,208788,187765,545,93131,1
2895364,339403,239459,214202,650,110922,1
2789413,364723,271586,241576,788,131914,1
2680462,384310,306770,271182,936,156340,1
2569323,399062,344033,301856,1138,184588,1
2457169,408917,382011,333259,1347,217297,1
2345820,413354,420937,364057,1578,254254,1
2236319,412999,458547,393567,1846,296722,1
2129931,408610,494604,420524,2143,344188,1
2027421,402350,526992,443409,2493,397335,1
1931110,389743,556690,463388,2871,456198,1
1839196,375656,582295,479003,3312,520538,1
1753354,365168,600629,486848,3758,590243,1
1674189,346662,616876,492998,4260,665015,1
1601419,323992,629117,495359,4752,745361,1
1534717,300695,637223,493190,5333,828842,1
1473876,278066,639268,487177,5932,915681,1
1418582,256544,636315,477125,6548,1004886,1
1368663,238170,627860,461868,7210,1096229,1
1323735,218715,616349,444808,7872,1188521,1
1283529,199355,601322,426215,8517,1281062,1
1247178,183065,582441,404728,9192,1373396,1
1214486,167174,560957,382421,9899,1465063,1
1185688,151449,538198,359353,10577,1554735,1
1159812,136861,514187,336536,11271,1641333,1
1136784,123621,488996,313368,11914,1725317,1
1116402,111240,462823,290569,12595,1806371,1
1098264,100106,436157,268829,13225,1883419,1
1082164,90464,409626,247321,13822,1956603,1
1067777,82088,382748,226973,14400,2026014,1
3799985,5,5,5,0,0,2
3799985,5,5,5,0,0,2
3799985,4,6,5,0,0,2
3799985,2,6,7,0,0,2
3799985,2,6,7,0,0,2
3799985,1,6,8,0,0,2
3799985,0,7,8,0,0,2
3799985,0,7,8,0,0,2
3799985,0,7,7,0,1,2
3799985,0,7,7,0,1,2
3799984,1,6,6,0,3,2
3799984,1,5,6,0,4,2
3799984,1,5,6,0,4,2
3799983,1,4,7,0,5,2
3799983,1,4,7,0,5,2
3799982,2,3,6,0,7,2
3799981,3,3,6,0,7,2
3799981,2,3,6,0,8,2
3799979,3,3,6,0,9,2
3799979,2,3,7,0,9,2
3799979,2,3,6,0,10,2
3799979,2,3,6,0,10,2
3799977,4,3,6,0,10,2
3799976,5,3,5,0,11,2
3799976,5,2,5,0,12,2
3799976,5,2,5,0,12,2
3799976,5,2,5,0,12,2
3799976,5,1,5,0,13,2
3799976,4,2,5,0,13,2
3799976,3,2,6,0,13,2
3799972,7,2,6,0,13,2
3799969,7,2,9,0,13,2
3799964,11,2,10,0,13,2
3799959,15,2,11,0,13,2
3799949,21,5,12,0,13,2
3799938,27,8,14,0,13,2
3799931,33,8,14,0,14,2
3799924,35,10,16,0,15,2
3799912,40,14,19,0,15,2
3799891,55,16,22,0,16,2
3799868,72,19,24,0,17,2
3799851,76,23,31,0,19,2
3799829,86,25,36,0,24,2
3799803,92,34,46,0,25,2
3799772,106,40,54,0,28,2
3799715,142,53,59,0,31,2
3799647,189,59,67,1,37,2
3799570,235,76,75,1,43,2
3799491,276,93,95,1,44,2
3799394,321,121,111,1,52,2
3799270,393,154,121,1,61,2
3799136,458,191,141,1,73,2
3798990,528,228,172,1,81,2
3798798,623,271,201,1,106,2
3798565,753,306,247,2,127,2
3798305,875,374,299,3,144,2
3797992,1027,443,359,3,176,2
3797645,1182,533,431,3,206,2
3797199,1426,628,502,4,241,2
3796672,1704,746,596,4,278,2
3795951,2100,881,724,6,338,2
3795168,2517,1041,870,7,397,2
3794239,3022,1228,1030,10,471,2
3793124,3609,1450,1235,10,572,2
3791754,4352,1715,1482,10,687,2
3790242,5122,2013,1777,11,835,2
3788415,5983,2442,2150,12,998,2
3786194,7144,2917,2538,12,1195,2
3783530,8513,3471,3067,14,1405,2
3780436,10104,4116,3637,14,1693,2
3776748,11958,4885,4392,16,2001,2
3772270,14131,5834,5376,20,2369,2
3766956,16847,6956,6421,21,2799,2
3760477,20226,8311,7670,23,3293,2
3752903,23918,9959,9250,26,3944,2
3743800,28302,12017,11166,33,4682,2
3732665,33975,14375,13336,37,5612,2
3719472,40590,17245,15906,42,6745,2
3704053,48192,20705,18894,54,8102,2
3685969,56644,25052,22629,64,9642,2
3664464,66426,30255,27274,77,11504,2
3638997,77790,36417,32876,95,13825,2
3608603,92168,43436,39140,112,16541,2
3573656,107758,51786,46781,131,19888,2
3532921,125133,61961,55957,153,23875,2
3486361,144609,73708,66659,186,28477,2
3432066,167135,87380,79023,225,34171,2
3370969,190783,103410,93464,261,41113,2
3302235,216024,121943,110152,313,49333,2
3226122,242697,142706,128774,367,59334,2
3142393,270104,166166,149930,434,70973,2
3051537,298059,192312,172782,518,84792,2
2954033,326890,220255,197180,609,101033,2
2851664,351732,251634,224025,713,120232,2
2744438,371872,286619,253665,853,142553,2
2634793,388139,322983,284303,1008,168774,2
2523200,400306,360668,315561,1188,199077,2
2411452,408092,398734,346978,1388,233356,2
2300046,411487,436866,377535,1632,272434,2
2191243,410252,474084,406052,1904,316465,2
3799985,5,5,5,0,0,3
3799985,5,5,5,0,0,3
3799985,4,6,5,0,0,3
3799985,2,6,7,0,0,3
3799984,3,6,7,0,0,3
3799982,3,8,7,0,0,3
3799982,2,8,8,0,0,3
3799981,3,8,8,0,0,3
3799981,1,9,9,0,0,3
3799979,3,9,9,0,0,3
3799976,5,8,10,0,1,3
3799976,5,7,10,0,2,3
3799973,8,6,10,0,3,3
3799973,8,6,10,0,3,3
3799972,6,7,12,0,3,3
3799970,8,7,12,0,3,3
3799969,7,7,11,0,6,3
3799963,9,6,13,0,9,3
3799953,18,5,13,0,11,3
3799940,31,4,13,0,12,3
3799929,36,8,15,0,12,3
3799919,37,15,17,0,12,3
3799904,45,18,21,0,12,3
3799889,54,19,25,0,13,3
3799875,54,23,32,0,16,3
3799857,66,25,35,0,17,3
3799832,76,34,37,0,21,3
3799806,84,46,42,0,22,3
3799785,92,51,47,0,25,3
3799744,116,59,54,0,27,3
3799706,131,67,66,0,30,3
3799641,176,74,73,0,36,3
3799587,202,85,82,0,44,3
3799518,233,94,95,0,60,3
3799429,284,107,110,0,70,3
3799326,338,119,141,0,76,3
3799168,435,155,154,0,88,3
3799010,512,199,182,0,97,3
3798831,615,225,211,0,118,3
3798593,758,270,242,0,137,3
3798334,876,330,301,0,159,3
3798052,992,408,370,0,178,3
3797659,1222,490,417,0,212,3
3797257,1374,601,522,1,245,3
3796711,1671,728,602,2,286,3
3796048,2043,847,731,3,328,3
3795251,2505,1000,861,3,380,3
3794303,3023,1188,1023,3,460,3
3793166,3627,1439,1232,4,532,3
3791778,4384,1711,1474,6,647,3
3790107,5250,2067,1779,7,790,3
3788120,6328,2470,2124,8,950,3
3785877,7426,2969,2600,10,1118,3
3783145,8766,3555,3182,12,1340,3
3779778,10526,4225,3847,12,1612,3
3775666,12700,5043,4668,14,1909,3
3770767,15276,6030,5627,17,2283,3
3764902,18340,7264,6733,19,2742,3
3757763,21961,8792,8155,22,3307,3
3749322,26131,10700,9879,23,3945,3
3739214,31209,12853,11917,28,4779,3
3727316,36987,15596,14336,33,5732,3
3713403,43588,18796,17253,36,6924,3
3696667,51534,22668,20674,48,8409,3
3677036,60500,27346,24943,58,10117,3
3653938,70952,32888,29932,72,12218,3
3626546,83559,39386,35724,84,14701,3
3594883,97427,47175,42774,97,17644,3
3557912,113431,56326,51038,119,21174,3
3515498,131811,66686,60347,136,25522,3
3466435,152365,79039,71338,162,30661,3
3410835,174616,93191,84191,193,36974,3
3348212,197904,109985,99187,239,44473,3
3278036,223056,129232,115977,292,53407,3
3200395,250181,150620,134562,361,63881,3
3115319,277178,174792,155842,440,76429,3
3023526,303710,201892,179109,520,91243,3
2925781,329397,231134,204532,637,108519,3
2822979,351892,263434,232461,760,128474,3
2715248,372564,297651,261676,892,151969,3
2605034,389497,333476,291500,1040,179453,3
2493773,401953,370419,321902,1222,210731,3
2382946,411226,406816,351190,1441,246381,3
2273683,413557,443810,380290,1697,286963,3
2166620,410172,479859,408524,1988,332837,3
2063520,402398,514017,433701,2294,384070,3
1964893,390911,545070,455833,2665,440628,3
1871286,375925,573084,473482,3060,503163,3
1783882,358686,596544,486328,3497,571063,3
1702069,340500,614885,494521,4001,644024,3
1626427,322936,627417,496802,4494,721924,3
1557187,302604,635499,495218,5049,804443,3
1494139,282089,638753,489391,5643,889985,3
1437132,264280,635943,477899,6237,978509,3
1385409,243787,629928,464590,6850,1069436,3
1338733,223723,620010,448730,7520,1161284,3
1297152,204242,605910,430052,8182,1254462,3
1259847,185304,588767,409856,8883,1347343,3
1225918,168979,568529,388596,9588,1438390,3
