county_name;numb_of_citizens;urbanization_rate
Warszawa;1753977;1,0000
Krakow; 765320;1,0000
Lodz; 696503;1,0000
Wroclaw; 637683;1,0000
Poznan; 540372;1,0000
Gdansk; 463754;1,0000
Szczecin; 404878;1,0000
powiat_poznanski; 373570;0,3840
Bydgoszcz; 353938;1,0000
Lublin; 340466;1,0000
Katowice; 298111;1,0000
Bialystok; 296628;1,0000
powiat_krakowski; 272591;0,1808
Gdynia; 246991;1,0000
powiat_wolominski; 238478;0,6655
Czestochowa; 226225;1,0000
Radom; 215020;1,0000
powiat_nowosadecki; 213864;0,1901
powiat_wejherowski; 211455;0,5883
powiat_kielecki; 208977;0,0659
Sosnowiec; 205873;1,0000
Torun; 202521;1,0000
powiat_tarnowski; 200886;0,0828
Kielce; 197704;1,0000
powiat_nowotarski; 190757;0,2971
Rzeszow; 187422;1,0000
Gliwice; 182156;1,0000
powiat_piaseczynski; 179496;0,4781
powiat_cieszynski; 177863;0,4630
Zabrze; 175459;1,0000
Olsztyn; 172993;1,0000
Bielsko_Biala; 172030;1,0000
Bytom; 169617;1,0000
powiat_rzeszowski; 168337;0,1182
powiat_zgierski; 165206;0,7317
powiat_bielski_slaskie; 162926;0,2780
powiat_inowroclawski; 162011;0,6573
powiat_pruszkowski; 161645;0,6256
powiat_ostrowski_wielkopolskie; 161574;0,5371
powiat_klodzki; 161452;0,6509
powiat_wadowicki; 159673;0,2920
powiat_swidnicki_dolnoslaskie; 158939;0,7010
powiat_wodzislawski; 157886;0,6651
powiat_oswiecimski; 154581;0,5555
powiat_zywiecki; 153197;0,2095
powiat_minski; 152268;0,4433
powiat_lubelski; 152253;0,0000
powiat_radomski; 151630;0,2020
powiat_bedzinski; 149720;0,7585
powiat_bialostocki; 146254;0,3847
powiat_gnieznienski; 145211;0,6502
Zielona_Gora; 139330;1,0000
Rybnik; 139252;1,0000
Ruda_Slaska; 139125;1,0000
powiat_tarnogorski; 139079;0,6817
powiat_nyski; 138369;0,5270
powiat_wroclawski; 137419;0,1492
powiat_pilski; 137382;0,6510
powiat_mielecki; 136315;0,4821
powiat_czestochowski; 135611;0,1210
powiat_debicki; 135336;0,3896
powiat_opolski_opolskie; 133160;0,1452
powiat_kartuski; 131071;0,1720
powiat_limanowski; 130289;0,1823
powiat_koninski; 129475;0,1436
Tychy; 128351;1,0000
powiat_starogardzki; 127502;0,4932
powiat_chrzanowski; 126054;0,6287
powiat_myslenicki; 125647;0,2610
powiat_olsztynski; 124205;0,3505
Gorzow_Wielkopolski; 123995;1,0000
powiat_otwocki; 123443;0,6176
powiat_wielicki; 123251;0,2650
Dabrowa_Gornicza; 121802;1,0000
powiat_jaroslawski; 121299;0,3774
Plock; 121295;1,0000
Elblag; 121191;1,0000
powiat_stargardzki; 120235;0,6620
powiat_zawiercianski; 119750;0,6380
powiat_pabianicki; 119299;0,7342
powiat_sieradzki; 119009;0,4388
Opole; 118722;1,0000
powiat_tomaszowski_lodzkie; 118234;0,5493
powiat_tczewski; 115836;0,6538
powiat_gliwicki; 115360;0,5510
powiat_pulawski; 114722;0,4954
Walbrzych; 114568;1,0000
powiat_jasielski; 114533;0,3278
powiat_legionowski; 114421;0,5731
powiat_bydgoski; 114418;0,2777
powiat_radomszczanski; 114336;0,4695
powiat_warszawski_zachodni; 114079;0,3597
powiat_belchatowski; 113004;0,6169
powiat_olkuski; 112863;0,5024
Wloclawek; 112483;1,0000
powiat_bialski; 112398;0,2035
powiat_krosnienski_podkarpackie; 112193;0,1212
powiat_ostrowiecki; 111984;0,6856
powiat_gdanski; 111675;0,2760
powiat_plocki; 111170;0,0929
powiat_pszczynski; 110215;0,2390
Tarnow; 110110;1,0000
Chorzow; 109398;1,0000
powiat_raciborski; 109111;0,5981
powiat_gorlicki; 109049;0,3129
powiat_garwolinski; 108843;0,2731
